OA Code,LA Name,Region Name,OAC11UK0039
E00052656,Wolverhampton,West Midlands,13.8339920948617,
E00052657,Wolverhampton,West Midlands,17.7018633540373,
E00052654,Wolverhampton,West Midlands,19.6078431372549,
E00052650,Wolverhampton,West Midlands,17.5,
E00053171,Wolverhampton,West Midlands,11.2903225806452,
E00131193,Hinckley and Bosworth,East Midlands,19.4029850746269,
E00052726,Wolverhampton,West Midlands,19.3353474320242,
E00052727,Wolverhampton,West Midlands,11.7424242424242,
E00052729,Wolverhampton,West Midlands,6,
E00052845,Wolverhampton,West Midlands,21.9827586206897,
E00158076,North Warwickshire,West Midlands,15.3225806451613,
E00158075,North Warwickshire,West Midlands,17.8260869565217,
E00053094,Wolverhampton,West Midlands,34.3629343629344,
E00053098,Wolverhampton,West Midlands,29.4573643410853,
E00053329,Wolverhampton,West Midlands,11.4035087719298,
E00053276,Wolverhampton,West Midlands,17.0212765957447,
E00053271,Wolverhampton,West Midlands,37.8787878787879,
E00052687,Wolverhampton,West Midlands,13.5458167330677,
E00052792,Wolverhampton,West Midlands,12.4528301886792,
E00052606,Wolverhampton,West Midlands,8.26446280991736,
E00052604,Wolverhampton,West Midlands,15.3392330383481,
E00052685,Wolverhampton,West Midlands,17.910447761194,
E00052683,Wolverhampton,West Midlands,8.96860986547085,
E00052602,Wolverhampton,West Midlands,11.7437722419929,
E00158197,North Warwickshire,West Midlands,12.6712328767123,
E00158116,North Warwickshire,West Midlands,24.7058823529412,
E00158577,Nuneaton and Bedworth,West Midlands,16.6666666666667,
E00052578,Wolverhampton,West Midlands,5.21739130434783,
E00053180,Wolverhampton,West Midlands,26.6666666666667,
E00052626,Wolverhampton,West Midlands,7.87037037037037,
E00052621,Wolverhampton,West Midlands,22.6973684210526,
E00158132,North Warwickshire,West Midlands,26.5017667844523,
E00158133,North Warwickshire,West Midlands,21.6589861751152,
E00158130,North Warwickshire,West Midlands,27.8969957081545,
E00052900,Wolverhampton,West Midlands,10.8108108108108,
E00052981,Wolverhampton,West Midlands,7.36842105263158,
E00158136,North Warwickshire,West Midlands,27.5510204081633,
E00158139,North Warwickshire,West Midlands,29.5454545454545,
E00052857,Wolverhampton,West Midlands,24.2424242424242,
E00052852,Wolverhampton,West Midlands,27.1477663230241,
E00052850,Wolverhampton,West Midlands,33.6032388663968,
E00049789,Dudley,West Midlands,9.72222222222222,
E00052231,Walsall,West Midlands,15.6804733727811,
E00052638,Wolverhampton,West Midlands,11.8320610687023,
E00158054,North Warwickshire,West Midlands,9.05511811023622,
E00053152,Wolverhampton,West Midlands,24.6376811594203,
E00053153,Wolverhampton,West Midlands,13.7254901960784,
E00158183,North Warwickshire,West Midlands,11.1111111111111,
E00158102,North Warwickshire,West Midlands,20.0743494423792,
E00053069,Wolverhampton,West Midlands,37.1134020618557,
E00053258,Wolverhampton,West Midlands,30.8,
E00158206,North Warwickshire,West Midlands,24.5421245421245,
E00131209,Hinckley and Bosworth,East Midlands,11.0497237569061,
E00052585,Wolverhampton,West Midlands,6.46551724137931,
E00052762,Wolverhampton,West Midlands,17.0603674540682,
E00052760,Wolverhampton,West Midlands,11.0236220472441,
E00170662,Hinckley and Bosworth,East Midlands,22.4137931034483,
E00170663,Hinckley and Bosworth,East Midlands,15.8536585365854,
E00170661,Hinckley and Bosworth,East Midlands,21.6981132075472,
E00170666,Hinckley and Bosworth,East Midlands,37.9807692307692,
E00052836,Wolverhampton,West Midlands,19.3548387096774,
E00167325,Wolverhampton,West Midlands,30.4597701149425,
E00158212,North Warwickshire,West Midlands,10.0719424460432,
E00052590,Wolverhampton,West Midlands,10.1382488479263,
E00052596,Wolverhampton,West Midlands,4.86486486486486,
E00052595,Wolverhampton,West Midlands,4.02010050251256,
E00052591,Wolverhampton,West Midlands,5.79710144927536,
E00052775,Wolverhampton,West Midlands,12.987012987013,
E00052771,Wolverhampton,West Midlands,9.84848484848485,
E00170672,Hinckley and Bosworth,East Midlands,29.1079812206573,
E00052615,Wolverhampton,West Midlands,9.8159509202454,
E00052967,Wolverhampton,West Midlands,7.00934579439252,
E00053040,Wolverhampton,West Midlands,46.2151394422311,
E00053049,Wolverhampton,West Midlands,23.9766081871345,
E00167332,Wolverhampton,West Midlands,22.4215246636771,
E00052747,Wolverhampton,West Midlands,15.6794425087108,
E00052748,Wolverhampton,West Midlands,9.88593155893536,
E00052971,Wolverhampton,West Midlands,37.7510040160643,
E00053106,Wolverhampton,West Midlands,37.7118644067797,
E00053187,Wolverhampton,West Midlands,14.5748987854251,
E00053101,Wolverhampton,West Midlands,31.4893617021277,
E00158080,North Warwickshire,West Midlands,12.0879120879121,
E00158089,North Warwickshire,West Midlands,7.9646017699115,
E00131006,Hinckley and Bosworth,East Midlands,22.7272727272727,
