OA Code,LA Name,Region Name,OAC11UK0031
E00052656,Wolverhampton,West Midlands,88.034188034188,
E00052657,Wolverhampton,West Midlands,57.3248407643312,
E00052654,Wolverhampton,West Midlands,86.1788617886179,
E00052650,Wolverhampton,West Midlands,92.436974789916,
E00053171,Wolverhampton,West Midlands,50.8474576271186,
E00131193,Hinckley and Bosworth,East Midlands,82.5581395348837,
E00052726,Wolverhampton,West Midlands,36.8932038834951,
E00052727,Wolverhampton,West Midlands,72.2627737226277,
E00052729,Wolverhampton,West Midlands,27.8688524590164,
E00052845,Wolverhampton,West Midlands,77.6859504132231,
E00158076,North Warwickshire,West Midlands,78.6885245901639,
E00158075,North Warwickshire,West Midlands,76.5217391304348,
E00053094,Wolverhampton,West Midlands,68.0327868852459,
E00053098,Wolverhampton,West Midlands,93.0555555555556,
E00053329,Wolverhampton,West Midlands,43.9024390243902,
E00053276,Wolverhampton,West Midlands,61.0687022900763,
E00053271,Wolverhampton,West Midlands,90.625,
E00052687,Wolverhampton,West Midlands,76.8595041322314,
E00052792,Wolverhampton,West Midlands,43.5114503816794,
E00052606,Wolverhampton,West Midlands,25.3968253968254,
E00052604,Wolverhampton,West Midlands,44.8648648648649,
E00052685,Wolverhampton,West Midlands,62.6582278481013,
E00052683,Wolverhampton,West Midlands,39.344262295082,
E00052602,Wolverhampton,West Midlands,61.0687022900763,
E00158197,North Warwickshire,West Midlands,54.6762589928058,
E00158116,North Warwickshire,West Midlands,82.7868852459016,
E00158577,Nuneaton and Bedworth,West Midlands,71.1864406779661,
E00052578,Wolverhampton,West Midlands,18.75,
E00053180,Wolverhampton,West Midlands,99.21875,
E00052626,Wolverhampton,West Midlands,32.2033898305085,
E00052621,Wolverhampton,West Midlands,86.6197183098592,
E00158132,North Warwickshire,West Midlands,72.1518987341772,
E00158133,North Warwickshire,West Midlands,90,
E00158130,North Warwickshire,West Midlands,88.9830508474576,
E00052900,Wolverhampton,West Midlands,2.38095238095238,
E00052981,Wolverhampton,West Midlands,3.40136054421769,
E00158136,North Warwickshire,West Midlands,79.7385620915033,
E00158139,North Warwickshire,West Midlands,59.2857142857143,
E00052857,Wolverhampton,West Midlands,34.5588235294118,
E00052852,Wolverhampton,West Midlands,61.6071428571429,
E00052850,Wolverhampton,West Midlands,85.9504132231405,
E00049789,Dudley,West Midlands,95.3703703703704,
E00052231,Walsall,West Midlands,57.8571428571429,
E00052638,Wolverhampton,West Midlands,68.75,
