OA Code,Ward Name,LA Name,Region Name,QS106EW0003,QS106EW0001 (base),OA Percentage
E00170666,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,7,258,2.7100,
E00053098,Penn,Wolverhampton,West Midlands,5,276,1.8100,
E00053169,Spring Vale,Wolverhampton,West Midlands,8,306,2.6100,
E00052578,Bilston East,Wolverhampton,West Midlands,4,298,1.3400,
E00158130,Coleshill North,North Warwickshire,West Midlands,8,302,2.6500,
E00053276,Tettenhall Wightwick,Wolverhampton,West Midlands,5,286,1.7500,
E00052754,East Park,Wolverhampton,West Midlands,4,205,1.9500,
E00158183,Hartshill,North Warwickshire,West Midlands,3,214,1.4000,
E00053152,Ettingshall,Wolverhampton,West Midlands,11,323,3.4100,
E00052590,Bilston East,Wolverhampton,West Midlands,3,299,1.0000,
E00052950,Merry Hill,Wolverhampton,West Midlands,3,280,1.0700,
E00053171,Spring Vale,Wolverhampton,West Midlands,5,246,2.0300,
E00158102,Atherstone South and Mancetter,North Warwickshire,West Midlands,13,339,3.8300,
E00158116,Baddesley and Grendon,North Warwickshire,West Midlands,4,310,1.2900,
E00158132,Coleshill North,North Warwickshire,West Midlands,13,316,4.1100,
E00158065,Arley and Whitacre,North Warwickshire,West Midlands,4,206,1.9400,
E00158075,Atherstone Central,North Warwickshire,West Midlands,9,256,3.5200,
E00158139,Coleshill South,North Warwickshire,West Midlands,12,305,3.9300,
E00158260,Water Orton,North Warwickshire,West Midlands,7,318,2.2000,
E00158147,Curdworth,North Warwickshire,West Midlands,7,319,2.1900,
E00158257,Water Orton,North Warwickshire,West Midlands,8,293,2.7300,
E00158212,Kingsbury,North Warwickshire,West Midlands,4,329,1.2200,
E00158089,Atherstone North,North Warwickshire,West Midlands,6,283,2.1200,
E00158069,Arley and Whitacre,North Warwickshire,West Midlands,6,251,2.3900,
E00158060,Arley and Whitacre,North Warwickshire,West Midlands,1,225,0.4400,
E00158136,Coleshill South,North Warwickshire,West Midlands,11,452,2.4300,
E00158148,Curdworth,North Warwickshire,West Midlands,6,279,2.1500,
E00158133,Coleshill North,North Warwickshire,West Midlands,0,260,0.0000,
E00158098,Atherstone South and Mancetter,North Warwickshire,West Midlands,3,267,1.1200,
E00158206,Kingsbury,North Warwickshire,West Midlands,8,320,2.5000,
E00158197,Hurley and Wood End,North Warwickshire,West Midlands,8,353,2.2700,
E00158063,Arley and Whitacre,North Warwickshire,West Midlands,5,267,1.8700,
E00158252,Water Orton,North Warwickshire,West Midlands,6,286,2.1000,
E00158076,Atherstone Central,North Warwickshire,West Midlands,9,301,2.9900,
E00158096,Atherstone South and Mancetter,North Warwickshire,West Midlands,6,256,2.3400,
E00158061,Arley and Whitacre,North Warwickshire,West Midlands,4,310,1.2900,
E00158080,Atherstone Central,North Warwickshire,West Midlands,14,387,3.6200,
E00158152,Curdworth,North Warwickshire,West Midlands,9,338,2.6600,
E00158155,Curdworth,North Warwickshire,West Midlands,9,217,4.1500,
E00158054,Arley and Whitacre,North Warwickshire,West Midlands,3,321,0.9300,
E00158154,Curdworth,North Warwickshire,West Midlands,12,469,2.5600,
E00052726,East Park,Wolverhampton,West Midlands,5,389,1.2900,
E00053069,Park,Wolverhampton,West Midlands,3,210,1.4300,
E00053040,Park,Wolverhampton,West Midlands,4,306,1.3100,
E00052585,Bilston East,Wolverhampton,West Midlands,0,298,0.0000,
E00052971,Merry Hill,Wolverhampton,West Midlands,8,311,2.5700,
E00052649,Bilston North,Wolverhampton,West Midlands,1,293,0.3400,
E00053260,Tettenhall Wightwick,Wolverhampton,West Midlands,3,231,1.3000,
E00052757,East Park,Wolverhampton,West Midlands,0,267,0.0000,
E00052760,East Park,Wolverhampton,West Midlands,3,324,0.9300,
E00052857,Graiseley,Wolverhampton,West Midlands,3,289,1.0400,
E00052981,Merry Hill,Wolverhampton,West Midlands,5,207,2.4200,
E00052727,East Park,Wolverhampton,West Midlands,2,338,0.5900,
E00052836,Graiseley,Wolverhampton,West Midlands,7,260,2.6900,
E00052638,Bilston North,Wolverhampton,West Midlands,4,322,1.2400,
E00052615,Bilston North,Wolverhampton,West Midlands,2,396,0.5100,
E00052900,Heath Town,Wolverhampton,West Midlands,4,168,2.3800,
E00052657,Blakenhall,Wolverhampton,West Midlands,5,404,1.2400,
E00052852,Graiseley,Wolverhampton,West Midlands,9,338,2.6600,
E00053153,Ettingshall,Wolverhampton,West Midlands,11,358,3.0700,
E00052683,Blakenhall,Wolverhampton,West Midlands,2,300,0.6700,
E00052645,East Park,Wolverhampton,West Midlands,7,355,1.9700,
E00052771,Ettingshall,Wolverhampton,West Midlands,11,327,3.3600,
E00052595,Bilston East,Wolverhampton,West Midlands,1,263,0.3800,
E00052596,Bilston East,Wolverhampton,West Midlands,6,257,2.3300,
E00053271,Tettenhall Wightwick,Wolverhampton,West Midlands,7,315,2.2200,
E00052775,Ettingshall,Wolverhampton,West Midlands,4,398,1.0100,
E00167325,St Peter's,Wolverhampton,West Midlands,27,185,14.5900,
E00052845,Graiseley,Wolverhampton,West Midlands,9,330,2.7300,
E00053081,Penn,Wolverhampton,West Midlands,10,310,3.2300,
E00170661,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,3,264,1.1400,
E00131193,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,8,418,1.9100,
E00170672,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,11,265,4.1500,
E00131257,Hinckley Trinity,Hinckley and Bosworth,East Midlands,10,368,2.7200,
E00170662,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,7,209,3.3500,
E00131241,Hinckley Trinity,Hinckley and Bosworth,East Midlands,5,473,1.0600,
E00131209,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,9,251,3.5900,
E00170663,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,3,314,0.9600,
E00131243,Hinckley Trinity,Hinckley and Bosworth,East Midlands,8,282,2.8400,
E00052967,Merry Hill,Wolverhampton,West Midlands,4,236,1.6900,
E00052656,Bilston North,Wolverhampton,West Midlands,6,307,1.9500,
E00052654,Bilston North,Wolverhampton,West Midlands,2,316,0.6300,
E00131006,Ambien,Hinckley and Bosworth,East Midlands,9,247,3.6400,
E00053106,Penn,Wolverhampton,West Midlands,9,294,3.0600,
E00053187,Spring Vale,Wolverhampton,West Midlands,2,281,0.7100,
E00053094,Penn,Wolverhampton,West Midlands,3,296,1.0100,
E00052650,Bilston North,Wolverhampton,West Midlands,2,275,0.7300,
E00052591,Bilston East,Wolverhampton,West Midlands,4,341,1.1700,
E00052747,East Park,Wolverhampton,West Midlands,7,361,1.9400,
E00053258,Tettenhall Wightwick,Wolverhampton,West Midlands,12,321,3.7400,
E00167318,St Peter's,Wolverhampton,West Midlands,72,300,24.0000,
E00052750,East Park,Wolverhampton,West Midlands,12,363,3.3100,
E00052604,Bilston East,Wolverhampton,West Midlands,19,505,3.7600,
E00052949,Merry Hill,Wolverhampton,West Midlands,5,342,1.4600,
E00052643,East Park,Wolverhampton,West Midlands,3,246,1.2200,
E00052752,East Park,Wolverhampton,West Midlands,6,260,2.3100,
E00053264,Tettenhall Wightwick,Wolverhampton,West Midlands,8,323,2.4800,
E00053180,Spring Vale,Wolverhampton,West Midlands,9,327,2.7500,
E00052729,East Park,Wolverhampton,West Midlands,0,103,0.0000,
E00053101,Penn,Wolverhampton,West Midlands,8,285,2.8100,
E00052668,Blakenhall,Wolverhampton,West Midlands,7,480,1.4600,
E00052621,Bilston North,Wolverhampton,West Midlands,0,360,0.0000,
E00052792,Ettingshall,Wolverhampton,West Midlands,8,341,2.3500,
E00053112,Penn,Wolverhampton,West Midlands,10,324,3.0900,
E00053193,Spring Vale,Wolverhampton,West Midlands,8,264,3.0300,
E00052850,Graiseley,Wolverhampton,West Midlands,14,294,4.7600,
E00053267,Tettenhall Wightwick,Wolverhampton,West Midlands,4,272,1.4700,
E00052602,Bilston East,Wolverhampton,West Midlands,4,360,1.1100,
E00053261,Tettenhall Wightwick,Wolverhampton,West Midlands,3,255,1.1800,
E00052685,Blakenhall,Wolverhampton,West Midlands,22,427,5.1500,
E00052748,East Park,Wolverhampton,West Midlands,3,330,0.9100,
E00052687,Blakenhall,Wolverhampton,West Midlands,5,313,1.6000,
E00052606,Bilston East,Wolverhampton,West Midlands,15,332,4.5200,
E00052737,East Park,Wolverhampton,West Midlands,4,361,1.1100,
E00052762,Ettingshall,Wolverhampton,West Midlands,9,517,1.7400,
E00167332,Bilston East,Wolverhampton,West Midlands,8,296,2.7000,
E00053049,Tettenhall Wightwick,Wolverhampton,West Midlands,4,205,1.9500,
E00052626,Bilston North,Wolverhampton,West Midlands,5,292,1.7100,
E00053268,Tettenhall Wightwick,Wolverhampton,West Midlands,3,301,1.0000,
E00052864,Graiseley,Wolverhampton,West Midlands,3,336,0.8900,
E00053269,Tettenhall Wightwick,Wolverhampton,West Midlands,17,309,5.5000,
E00053329,Wednesfield South,Wolverhampton,West Midlands,2,274,0.7300,
E00053163,Spring Vale,Wolverhampton,West Midlands,6,331,1.8100,
E00052598,Bilston East,Wolverhampton,West Midlands,10,445,2.2500,
E00053078,Penn,Wolverhampton,West Midlands,3,344,0.8700,
E00052848,Graiseley,Wolverhampton,West Midlands,5,352,1.4200,
E00052633,Bilston North,Wolverhampton,West Midlands,2,343,0.5800,
E00053079,Penn,Wolverhampton,West Midlands,7,374,1.8700,
E00053198,Spring Vale,Wolverhampton,West Midlands,4,309,1.2900,
E00170673,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,10,199,5.0300,
E00052844,Graiseley,Wolverhampton,West Midlands,7,342,2.0500,
E00052653,Bilston North,Wolverhampton,West Midlands,6,351,1.7100,
E00052772,Ettingshall,Wolverhampton,West Midlands,3,407,0.7400,
E00052842,Graiseley,Wolverhampton,West Midlands,5,321,1.5600,
