OA Code,Ward Name,LA Name,Region Name,QS611EW0004,QS611EW0001 (base),OA Percentage
E00170666,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,16,107,14.9500,
E00053098,Penn,Wolverhampton,West Midlands,10,55,18.1800,
E00053169,Spring Vale,Wolverhampton,West Midlands,27,91,29.6700,
E00052578,Bilston East,Wolverhampton,West Midlands,30,107,28.0400,
E00158130,Coleshill North,North Warwickshire,West Midlands,30,101,29.7000,
E00053276,Tettenhall Wightwick,Wolverhampton,West Midlands,23,82,28.0500,
E00052754,East Park,Wolverhampton,West Midlands,28,92,30.4300,
E00158183,Hartshill,North Warwickshire,West Midlands,17,63,26.9800,
E00053152,Ettingshall,Wolverhampton,West Midlands,22,111,19.8200,
E00052590,Bilston East,Wolverhampton,West Midlands,22,79,27.8500,
E00052950,Merry Hill,Wolverhampton,West Midlands,19,77,24.6800,
E00053171,Spring Vale,Wolverhampton,West Midlands,18,85,21.1800,
E00158102,Atherstone South and Mancetter,North Warwickshire,West Midlands,23,89,25.8400,
E00158116,Baddesley and Grendon,North Warwickshire,West Midlands,28,87,32.1800,
E00158132,Coleshill North,North Warwickshire,West Midlands,23,123,18.7000,
E00158065,Arley and Whitacre,North Warwickshire,West Midlands,12,53,22.6400,
E00158075,Atherstone Central,North Warwickshire,West Midlands,21,84,25.0000,
E00158139,Coleshill South,North Warwickshire,West Midlands,17,114,14.9100,
E00158260,Water Orton,North Warwickshire,West Midlands,27,87,31.0300,
E00158147,Curdworth,North Warwickshire,West Midlands,13,87,14.9400,
E00158257,Water Orton,North Warwickshire,West Midlands,17,82,20.7300,
E00158212,Kingsbury,North Warwickshire,West Midlands,37,87,42.5300,
E00158089,Atherstone North,North Warwickshire,West Midlands,20,75,26.6700,
E00158069,Arley and Whitacre,North Warwickshire,West Midlands,31,88,35.2300,
E00158060,Arley and Whitacre,North Warwickshire,West Midlands,13,68,19.1200,
E00158136,Coleshill South,North Warwickshire,West Midlands,21,116,18.1000,
